都道府県,高校名,郵便番号,住所,学校独自URL
三重県,皇學館高等学校,516-8577,三重県 伊勢市楠部町138,https://www.kogakkan-h.jp/
三重県,松阪商業高等学校,515-0205,三重県 松阪市豊原町1600,https://mie-matsusho.jp/
三重県,伊勢学園高等学校,516-0018,三重県 伊勢市黒瀬町562-13,http://www.isegakuen.ac.jp/highschool/
三重県,鈴鹿高等学校,513-0831,三重県 鈴鹿市庄野町1260,https://suzukakyoei.ed.jp/suzukah/
三重県,Ｎ高等学校・Ｓ高等学校　四日市キャンパス（通信制）,510-0074,三重県 四日市市鵜の森1-5-17d_ll YOKKAICHI 1階,
三重県,水産高等学校,517-0703,三重県 志摩市志摩町和具2578,https://www.mie-c.ed.jp/hsuisa/
三重県,海星高等学校,510-0882,三重県 四日市市追分1-9-34,https://www.kaisei.ed.jp/
三重県,暁高等学校（６年制）,512-8538,三重県 四日市市萱生町238,https://www.akatsuki.ed.jp/akatsuki-jh/index.html
三重県,白子高等学校,510-0243,三重県 鈴鹿市白子4-17-1,https://www.mie-c.ed.jp/hsirok/
三重県,桑名工業高等学校,511-0944,三重県 桑名市芳ケ崎1330-1,https://www.mie-c.ed.jp/tkuwan/
三重県,久居農林高等学校,514-1136,三重県 津市久居東鷹跡町105,http://hisai-norin.jp/
三重県,いなべ総合学園高等学校,511-0222,三重県 いなべ市員弁町御薗632番地,http://www.inabe-h.ed.jp/
三重県,津高等学校,514-0042,三重県 津市新町3-1-1,http://www.mie-c.ed.jp/htu/
三重県,四日市商業高等学校,512-0921,三重県 四日市市尾平町永代寺2745,http://www.shisho.ed.jp
三重県,四日市工業高等学校,510-0886,三重県 四日市市日永東3-4-63,https://www.mie-c.ed.jp/tyokka/
三重県,菰野高等学校,510-1234,三重県 三重郡菰野町大字福村870番地,https://www.mie-c.ed.jp/hkomon/
三重県,神戸高等学校,513-0801,三重県 鈴鹿市神戸4-1-80,https://kambe.ed.jp/
三重県,四日市高等学校,510-8510,三重県 四日市市富田4-1-43,https://www.shiko.ed.jp/
三重県,桑名西高等学校,511-0937,三重県 桑名市大字志知字東山2839,http://www.kuwananishi-hs.ed.jp
三重県,四日市農芸高等学校,510-0874,三重県 四日市市河原田町2847,http://www.mie-c.ed.jp/ayokka/
三重県,津商業高等学校,514-0063,三重県 津市渋見町699,http://www.mie-c.ed.jp/ctu/
三重県,四日市南高等学校,510-8562,三重県 四日市市日永岡山4917,https://www.mie-c.ed.jp/hsyokk/
三重県,津工業高等学校,514-0823,三重県 津市半田534,https://www.mie-c.ed.jp/ttu/html/top.htm
三重県,亀山高等学校,519-0116,三重県 亀山市本町1-10-1,http://www.mie-c.ed.jp/hkamey/
三重県,四日市中央工業高等学校,512-0925,三重県 四日市市菅原町678,http://www.mie-c.ed.jp/tcyokk/
三重県,津東高等学校,514-0061,三重県 津市一身田上津部田1470,http://www.mie-c.ed.jp/htuhig/
三重県,飯野高等学校,513-0803,三重県 鈴鹿市三日市町東新田場1695,https://www.mie-c.ed.jp/hiino/
三重県,津西高等学校,514-0065,三重県 津市河辺町2210-2,https://tsunishi.jp/
三重県,白山高等学校,515-3133,三重県 津市白山町南家城678,https://www.mie-c.ed.jp/hhakus/
三重県,四日市西高等学校,512-1211,三重県 四日市市桜町6100,https://424hs.jp/
三重県,名張青峰高等学校,518-0476,三重県 名張市百合が丘東6-1,http://www.mie-c.ed.jp/hseihou/
三重県,上野高等学校,518-0873,三重県 伊賀市上野丸之内107,https://www.mie-c.ed.jp/hueno/
三重県,桑名北高等学校,511-0808,三重県 桑名市下深谷部山王2527,https://www.mie-c.ed.jp/hnkuwa/
三重県,川越高等学校,510-8566,三重県 三重郡川越町豊田2302-1,http://www.mie-c.ed.jp/hkawag/
三重県,松阪工業高等学校,515-0073,三重県 松阪市殿町1417,http://www.mie-c.ed.jp/tmatus/
三重県,朝明高等学校,512-1304,三重県 四日市市中野町2216,http://www.mie-c.ed.jp/hasake/
三重県,飯南高等学校,515-1411,三重県 松阪市飯南町粥見5480-1,http://www.mie-c.ed.jp/hiinan/
三重県,久居高等学校,514-1138,三重県 津市戸木町3569-1,https://www.mie-c.ed.jp/hhisai/
三重県,あけぼの学園高等学校,519-1424,三重県 伊賀市川東412,http://www.mie-c.ed.jp/hakebo/
三重県,南伊勢高等学校 度会校舎,516-2102,三重県 度会郡度会町大野木2831,http://www.mie-c.ed.jp/hwatar/
三重県,暁高等学校,512-8538,三重県 四日市市萱生町238,https://www.akatsuki.ed.jp/akatsuki-h/
三重県,宇治山田商業高等学校,516-0018,三重県 伊勢市黒瀬町1193,http://www.mie-c.ed.jp/cujiya/
三重県,南伊勢高等学校 南勢校舎,516-0109,三重県 度会郡南伊勢町船越2926-1,http://www.mie-c.ed.jp/hnanse/
三重県,鳥羽高等学校,517-0021,三重県 鳥羽市安楽島町1459,https://www.mie-c.ed.jp/htoba/
三重県,相可高等学校,519-2181,三重県 多気郡多気町相可50,http://www.mie-c.ed.jp/houka/
三重県,松阪高等学校,515-8577,三重県 松阪市垣鼻町1664,https://www.mie-c.ed.jp/hmatus/
三重県,四日市四郷高等学校,510-0947,三重県 四日市市八王子町字高花1654,https://sites.google.com/mie-c.ed.jp/yogoh
三重県,稲生高等学校,510-0201,三重県 鈴鹿市稲生町8232-1,http://www.ino-hs.ed.jp/
三重県,伊勢工業高等学校,516-0017,三重県 伊勢市神久2-7-18,http://www.mie-c.ed.jp/tise/
三重県,熊野青藍高等学校（紀南校舎）,519-5204,三重県 南牟婁郡御浜町阿田和1960,https://sites.google.com/mie-c.ed.jp/kumanoseiran/
三重県,宇治山田高等学校,516-0062,三重県 伊勢市浦口3-13-1,http://www.mie-c.ed.jp/hujiya/
三重県,熊野青藍高等学校（木本校舎）,519-4394,三重県 熊野市木本町1101-4,https://www.mie-c.ed.jp/hkimot/
三重県,伊賀白鳳高等学校,518-0837,三重県 伊賀市緑ケ丘西町2270-1,http://www.igahakuho.ed.jp
三重県,明野高等学校,519-0501,三重県 伊勢市小俣町明野1481,https://www.mie-c.ed.jp/hakeno/
三重県,尾鷲高等学校,519-3659,三重県 尾鷲市古戸野町3番12号,http://www.mie-c.ed.jp/howase/
三重県,志摩高等学校,517-0209,三重県 志摩市磯部町恵利原1308,https://www.mie-c.ed.jp/hsima/index.html
三重県,昴学園高等学校,519-2593,三重県 多気郡大台町茂原48,http://www.mie-c.ed.jp/hsubar/
三重県,名張高等学校,518-0711,三重県 名張市東町2067-2,http://www.mie-c.ed.jp/hnabar/
三重県,石薬師高等学校,513-0012,三重県 鈴鹿市石薬師町寺東452,https://www.mie-c.ed.jp/hisiya/index.html
三重県,伊勢高等学校,516-8515,三重県 伊勢市神田久志本町1703-1,http://www.mie-c.ed.jp/hise/
三重県,鈴鹿中等教育学校,513-0831,三重県 鈴鹿市庄野町1230,http://suzukakyoeigakuen.net/suzuka6/
三重県,桑名高等学校（定時制）,511-0811,三重県 桑名市東方1795,http://www.kuwana-h.ed.jp/
